City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,namdrik,5.5994,168.1028,301.74,70,100,3.44,MH,1691645363
156,nueve de julio,-35.4444,-60.8831,282.57,92,100,0.89,AR,1691645363
157,lihue,21.9789,-159.3672,301.73,73,75,10.29,US,1691645363
158,ribeira grande,38.5167,-28.7,294.14,86,54,4.02,PT,1691645364
159,fale old settlement,-9.3852,-171.2468,301.56,77,57,6.85,TK,1691645364
160,idri,27.5,13.2667,297.14,40,0,3.82,LY,1691645364
161,ulanhot,46.0833,122.0833,296.74,66,46,4.56,CN,1691645364
162,el nido,11.1858,119.3956,302.24,76,37,6.59,PH,1691645364
163,artigas,-30.4,-56.4667,285.01,97,30,2.68,UY,1691645066
164,nar'yan-mar,67.6713,53.087,289.49,66,0,2.94,RU,1691645365
165,hasaki,35.7333,140.8333,306.65,72,50,3.71,JP,1691645365
166,akureyri,65.6835,-18.0878,280.11,87,100,0.51,IS,1691645366
167,namibe,-15.1961,12.1522,288.43,89,13,3.57,AO,1691645366
168,arraial do cabo,-22.9661,-42.0278,293.98,87,28,8.59,BR,1691645366
169,celestun,20.8667,-90.4,301.69,79,40,6.12,MX,1691645366
170,la'ie,21.6477,-157.9253,301.13,71,6,8.35,US,1691645367
171,sparti,37.0733,22.4297,297.01,76,0,0.86,GR,1691645367
172,katsuura,35.1333,140.3,301.92,76,51,4.71,JP,1691645367
173,coyhaique,-45.5752,-72.0662,280.12,93,40,2.57,CL,1691645367
174,dwarka,22.2394,68.9678,301.17,80,100,9.17,IN,1691645368
175,gigant,46.5066,41.3419,300.57,56,72,4.75,RU,1691645368
176,al faw,29.9776,48.4741,311.15,36,73,0.45,IQ,1691645368
177,botou,38.0667,116.5667,305.06,54,41,2.07,CN,1691645368
178,polovinnoye,54.7914,65.9864,295.23,58,81,5.67,RU,1691645370
179,busselton,-33.65,115.3333,285.21,84,100,1.46,AU,1691645370
